,rmse,mae,nll,ce
DNN-rdkit_none,22,17,23,22
DNN-rdkit_MCDropout,17,15,22,19
DNN-rdkit_SWAG,23,18,24,24
DNN-rdkit_BBP,20,20,19,17
DNN-rdkit_SGLD,19,21,9,4
DNN-rdkit_DeepEnsembles,13,13,12,14
GROVER_none,18,19,13,6
GROVER_MCDropout,15,16,10,5
GROVER_SWAG,21,23,17,8
GROVER_BBP,16,22,11,1
GROVER_SGLD,24,24,14,2
GROVER_DeepEnsembles,14,14,7,3
Uni-Mol_none,4,4,5,18
Uni-Mol_MCDropout,3,3,3,21
Uni-Mol_SWAG,6,6,15,23
Uni-Mol_BBP,2,1,2,13
Uni-Mol_SGLD,5,5,4,15
Uni-Mol_DeepEnsembles,1,2,1,20
ChemBERTa_none,9,9,20,11
ChemBERTa_MCDropout,8,8,18,16
ChemBERTa_SWAG,10,10,21,10
ChemBERTa_BBP,11,11,16,12
ChemBERTa_SGLD,12,12,6,7
ChemBERTa_DeepEnsembles,7,7,8,9
